"county","state","prop_higher_education"
"Aleutians East Borough","AK","15.9"
"Aleutians West Census Area","AK","16.8"
"Anchorage Municipality","AK","36.8"
"Bethel Census Area","AK","12.7"
"Bristol Bay Borough","AK","22.1"
"Chugach Census Area","AK","30.7"
"Copper River Census Area","AK","29.8"
"Denali Borough","AK","39.4"
"Dillingham Census Area","AK","19.6"
"Fairbanks North Star Borough","AK","32.6"
"Haines Borough","AK","25.6"
"Hoonah-Angoon Census Area","AK","22.3"
"Juneau City and Borough","AK","40.1"
"Kenai Peninsula Borough","AK","27.4"
"Ketchikan Gateway Borough","AK","26.4"
"Kodiak Island Borough","AK","29.2"
"Kusilvak Census Area","AK","2.9"
"Lake and Peninsula Borough","AK","22.2"
"Matanuska-Susitna Borough","AK","23.7"
"Nome Census Area","AK","18.4"
"North Slope Borough","AK","15.6"
"Northwest Arctic Borough","AK","14.4"
"Petersburg Borough","AK","28.4"
"Prince of Wales-Hyder Census Area","AK","19.2"
"Sitka City and Borough","AK","33.2"
"Skagway Municipality","AK","25.0"
"Southeast Fairbanks Census Area","AK","19.3"
"Wrangell City and Borough","AK","15.2"
"Yakutat City and Borough","AK","10.3"
"Yukon-Koyukuk Census Area","AK","12.9"
"Baldwin","AL","32.5"
"Barbour","AL","11.2"
"Bibb","AL","11.9"
"Blount","AL","14.9"
"Bullock","AL","11.7"
"Butler","AL","14.0"
"Calhoun","AL","19.5"
"Chambers","AL","13.7"
"Cherokee","AL","12.8"
"Chilton","AL","13.5"
"Choctaw","AL","11.7"
"Clarke","AL","13.9"
"Clay","AL","13.4"
"Cleburne","AL","16.4"
"Coffee","AL","22.7"
"Colbert","AL","17.9"
"Conecuh","AL","12.5"
"Coosa","AL","11.2"
"Covington","AL","15.8"
"Crenshaw","AL","16.4"
"Cullman","AL","16.5"
"Dale","AL","18.7"
"Dallas","AL","16.1"
"DeKalb","AL","14.4"
"Elmore","AL","24.6"
"Escambia","AL","12.5"
"Etowah","AL","18.0"
"Fayette","AL","11.8"
"Franklin","AL","14.3"
"Geneva","AL","13.5"
"Greene","AL","12.7"
"Hale","AL","15.8"
"Henry","AL","21.6"
"Houston","AL","22.2"
"Jackson","AL","16.1"
"Jefferson","AL","34.7"
"Lamar","AL","10.0"
"Lauderdale","AL","25.5"
"Lawrence","AL","15.3"
"Lee","AL","38.6"
"Limestone","AL","28.4"
"Lowndes","AL","15.1"
"Macon","AL","21.2"
"Madison","AL","44.3"
"Marengo","AL","19.7"
"Marion","AL","12.6"
"Marshall","AL","21.4"
"Mobile","AL","23.9"
"Monroe","AL","12.9"
"Montgomery","AL","33.4"
"Morgan","AL","22.8"
"Perry","AL","18.9"
"Pickens","AL","13.3"
"Pike","AL","27.8"
"Randolph","AL","16.2"
"Russell","AL","17.3"
"Shelby","AL","44.8"
"St. Clair","AL","18.5"
"Sumter","AL","19.5"
"Talladega","AL","15.9"
"Tallapoosa","AL","18.1"
"Tuscaloosa","AL","30.6"
"Walker","AL","14.1"
"Washington","AL","13.6"
"Wilcox","AL","11.0"
"Winston","AL","13.5"
"Arkansas","AR","16.6"
"Ashley","AR","12.0"
"Baxter","AR","18.6"
"Benton","AR","34.6"
"Boone","AR","17.8"
"Bradley","AR","12.5"
"Calhoun","AR","12.2"
"Carroll","AR","22.0"
"Chicot","AR","14.8"
"Clark","AR","27.9"
"Clay","AR","14.0"
"Cleburne","AR","17.0"
"Cleveland","AR","16.7"
"Columbia","AR","20.2"
"Conway","AR","18.7"
"Craighead","AR","28.9"
"Crawford","AR","19.1"
"Crittenden","AR","17.5"
"Cross","AR","14.1"
"Dallas","AR","11.5"
"Desha","AR","13.7"
"Drew","AR","23.7"
"Faulkner","AR","32.9"
"Franklin","AR","10.6"
