"county","state","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance"
"Aleutians East Borough","AK",85846,4.5,38.6,27,40
"Aleutians West Census Area","AK",108303,3.8,68.7,16,19.6
"Anchorage Municipality","AK",113873,5.4,69.7,32.7,10.5
"Bethel Census Area","AK",78343,18.1,31.8,58.6,15.1
"Bristol Bay Borough","AK",99067,2.4,61,33.1,17
"Chugach Census Area","AK",100865,3.6,64.1,29.5,14.6
"Copper River Census Area","AK",85504,7.7,52.5,36.8,21.1
"Denali Borough","AK",87103,2.6,79.2,18,13.9
"Dillingham Census Area","AK",77895,12.6,34.7,54.5,17.3
"Fairbanks North Star Borough","AK",102587,6.3,76.3,28.8,9.6
"Haines Borough","AK",80135,3.7,54.4,43.7,11.8
"Hoonah-Angoon Census Area","AK",79215,15,46.4,44.8,21.1
"Juneau City and Borough","AK",109606,5.1,75.5,30.6,8.8
"Kenai Peninsula Borough","AK",92638,8.2,58.5,42.3,12.8
"Ketchikan Gateway Borough","AK",100532,4.7,69.2,36,9.5
"Kodiak Island Borough","AK",96267,5.8,66.1,35.3,12.5
"Kusilvak Census Area","AK",50193,24.7,18.3,70.6,15.3
"Lake and Peninsula Borough","AK",63950,15.8,38.8,40.5,25.2
"Matanuska-Susitna Borough","AK",98444,7.4,63.8,35.6,13.6
"Nome Census Area","AK",80930,18.6,38.4,50.3,17.3
"North Slope Borough","AK",102685,9.2,62.6,26.2,17.3
"Northwest Arctic Borough","AK",88844,15.7,34.8,48.4,22.4
"Petersburg Borough","AK",89162,4.7,64.1,44.2,10.8
"Prince of Wales-Hyder Census Area","AK",72091,9.6,42.8,46.2,21
"Sitka City and Borough","AK",92888,5.4,69.3,29,13.6
"Skagway Municipality","AK",84031,12.9,77.2,23.1,12.6
"Southeast Fairbanks Census Area","AK",81373,10.3,56.5,41.1,15.2
"Wrangell City and Borough","AK",72039,5.7,48.8,47.3,16.3
"Yakutat City and Borough","AK",82303,1.6,52.1,34,24.2
"Yukon-Koyukuk Census Area","AK",57989,12.8,34.3,53.6,22.4
"Baldwin","AL",87709,3.7,69.7,35.9,9.7
"Barbour","AL",55066,8.6,52.2,51.7,10.4
"Bibb","AL",67396,9.7,62.6,40.9,10
"Blount","AL",71849,6,65.3,36.8,10
"Bullock","AL",46257,3,44.7,53.5,10.1
"Butler","AL",63862,6.5,63.5,41.4,11.4
"Calhoun","AL",65287,7,64.6,41.2,11.2
"Chambers","AL",59993,3.2,59.9,42.7,10.5
"Cherokee","AL",63492,4.7,64.1,43.8,9.8
"Chilton","AL",68497,6.4,63,39.9,12.4
"Choctaw","AL",57529,6.1,56.7,49.3,11.1
"Clarke","AL",64589,12.2,58.5,46.4,10.9
"Clay","AL",65502,6.1,65.4,42.5,8.3
"Cleburne","AL",67904,4.5,66.4,36,11
"Coffee","AL",74955,5.1,67.8,39.4,10.5
"Colbert","AL",65278,3.8,69.5,38.4,6.6
"Conecuh","AL",53737,4.7,59.2,47.3,8.3
"Coosa","AL",66585,3.3,66.5,44.6,6.6
"Covington","AL",63948,7,63.4,39.3,11.1
"Crenshaw","AL",67086,4.7,65.5,42.2,7.3
"Cullman","AL",67643,4.4,66.1,37.3,10.9
"Dale","AL",63351,8.2,64.8,43.1,10.2
"Dallas","AL",49350,8.5,52.2,49.3,9.9
"DeKalb","AL",62388,4.3,58.2,40.1,15.1
"Elmore","AL",83506,4.8,73.6,32.4,8.6
"Escambia","AL",51084,9.8,59.8,40,12.2
"Etowah","AL",63821,6.1,64.4,39.3,12.2
"Fayette","AL",59916,9.3,59.3,46.6,10.6
"Franklin","AL",58435,4.6,58.5,38,12.7
"Geneva","AL",57707,3.5,56.2,47.1,11.9
"Greene","AL",41076,10,44.6,54.2,18
