"county","state","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Aleutians East Borough","AK",3409,59.1,40.9,1.4,14.1,11.7,14.6,2.1
"Aleutians West Census Area","AK",5251,57,43,0,12.1,7,24.5,3.5
"Anchorage Municipality","AK",292545,51.2,48.8,0.9,24.3,11.5,60.3,5.4
"Bethel Census Area","AK",18514,52.5,47.5,0.4,35.4,7.5,9.6,0.9
"Bristol Bay Borough","AK",849,56.5,43.5,0.9,18.7,13.1,44.8,0.6
"Chugach Census Area","AK",7015,51.9,48.1,0.9,23.1,13.5,72.8,1.7
"Copper River Census Area","AK",2635,52.1,47.9,0.6,24.1,14.5,58.3,0.1
"Denali Borough","AK",2187,53.4,46.6,0.5,8.9,11.8,79.9,1.2
"Dillingham Census Area","AK",4899,51.7,48.3,0.8,31.5,11.2,16.2,1.3
"Fairbanks North Star Borough","AK",97149,54.2,45.8,0.6,24.1,11.1,73,4.6
"Haines Borough","AK",2098,53.4,46.6,0.8,31.2,20.9,86.2,0
"Hoonah-Angoon Census Area","AK",2327,56.3,43.7,0.7,12.3,22.9,48.8,1.9
"Juneau City and Borough","AK",32240,50.9,49.1,0.9,20.9,13.9,64.7,1
"Kenai Peninsula Borough","AK",58711,52.3,47.7,1.4,22.4,17.9,80.7,0.7
"Ketchikan Gateway Borough","AK",13939,51.6,48.4,1.4,21.7,16,64.4,0.8
"Kodiak Island Borough","AK",13218,52.7,47.3,1.6,24.6,11.4,52.4,1.1
"Kusilvak Census Area","AK",8354,54.4,45.6,0.3,40.8,5.9,3.3,0
"Lake and Peninsula Borough","AK",986,45.6,54.4,0.8,26.4,9.9,24.3,2.2
"Matanuska-Susitna Borough","AK",106807,52.1,47.9,0.9,26.8,12.2,80.6,1.3
"Nome Census Area","AK",10070,52.3,47.7,0.3,34.6,7.6,14.6,0.9
"North Slope Borough","AK",10865,59.5,40.5,0.4,27.5,7.3,28.6,0.8
"Northwest Arctic Borough","AK",7776,53.8,46.2,0.4,35.6,7.7,11.2,1.1
"Petersburg Borough","AK",3368,51.8,48.2,1.1,17.8,28,64.6,1
"Prince of Wales-Hyder Census Area","AK",5886,55,45,0.9,22.1,18.4,46.2,0.3
"Sitka City and Borough","AK",8518,51.7,48.3,1.2,21.1,15.8,63.5,0.6
"Skagway Municipality","AK",1329,50.2,49.8,0.5,14.5,13.3,76.5,2.9
"Southeast Fairbanks Census Area","AK",6849,55.1,44.9,1.8,27.5,14.3,74.7,1.1
"Wrangell City and Borough","AK",2162,56.6,43.4,2.1,22.8,24.7,59,0.1
