"fips","county","state","cases","deaths"
1001,"Autauga","AL",19790,232
1003,"Baldwin","AL",69860,727
1005,"Barbour","AL",7485,103
1007,"Bibb","AL",8091,109
1009,"Blount","AL",18704,261
1011,"Bullock","AL",3030,54
1013,"Butler","AL",6551,132
1015,"Calhoun","AL",41421,680
1017,"Chambers","AL",10859,172
1019,"Cherokee","AL",6755,89
1021,"Chilton","AL",13009,219
1023,"Choctaw","AL",2259,39
1025,"Clarke","AL",8553,107
1027,"Clay","AL",5162,93
1029,"Cleburne","AL",4428,72
1031,"Coffee","AL",17185,245
1033,"Colbert","AL",21291,279
1035,"Conecuh","AL",3604,76
1037,"Coosa","AL",3776,64
1039,"Covington","AL",11804,261
1041,"Crenshaw","AL",4738,110
1043,"Cullman","AL",31520,398
1045,"Dale","AL",16507,245
1047,"Dallas","AL",11031,259
1049,"DeKalb","AL",22522,345
1051,"Elmore","AL",29837,362
1053,"Escambia","AL",12367,179
1055,"Etowah","AL",34229,692
1057,"Fayette","AL",5887,100
1059,"Franklin","AL",12033,154
1061,"Geneva","AL",7969,172
1063,"Greene","AL",2309,54
1065,"Hale","AL",5728,110
1067,"Henry","AL",5866,79
1069,"Houston","AL",32660,531
1071,"Jackson","AL",18379,256
1073,"Jefferson","AL",238727,2535
1075,"Lamar","AL",4737,73
1077,"Lauderdale","AL",30406,420
1079,"Lawrence","AL",9389,181
1081,"Lee","AL",47646,372
1083,"Limestone","AL",32150,320
1085,"Lowndes","AL",3370,80
1087,"Macon","AL",5293,90
1089,"Madison","AL",116086,1060
1091,"Marengo","AL",6093,116
1093,"Marion","AL",10113,160
1095,"Marshall","AL",32967,410
1097,"Mobile","AL",134986,1802
1099,"Monroe","AL",6742,88
1101,"Montgomery","AL",73840,1010
1103,"Morgan","AL",46540,551
80001,"Out of AL","AL",0,0
1105,"Perry","AL",2673,49
1107,"Pickens","AL",6339,122
1109,"Pike","AL",9264,142
1111,"Randolph","AL",6527,79
1113,"Russell","AL",13030,100
1117,"Shelby","AL",78112,482
1115,"St. Clair","AL",33302,441
1119,"Sumter","AL",3176,55
1121,"Talladega","AL",28602,397
1123,"Tallapoosa","AL",14611,253
1125,"Tuscaloosa","AL",70976,854
90001,"Unassigned","AL",0,0
1127,"Walker","AL",24154,480
1129,"Washington","AL",4397,61
1131,"Wilcox","AL",3659,48
1133,"Winston","AL",9427,141
2013,"Aleutians East","AK",1332,5
2016,"Aleutians West","AK",2003,3
2020,"Anchorage","AK",124334,612
2050,"Bethel","AK",13021,47
