"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Aleutians East Borough","AK","15.9",85846,4.5,38.6,27,40,3409,59.1,40.9,1.4,14.1,11.7,14.6,2.1
"Aleutians West Census Area","AK","16.8",108303,3.8,68.7,16,19.6,5251,57,43,0,12.1,7,24.5,3.5
"Anchorage Municipality","AK","36.8",113873,5.4,69.7,32.7,10.5,292545,51.2,48.8,0.9,24.3,11.5,60.3,5.4
"Bethel Census Area","AK","12.7",78343,18.1,31.8,58.6,15.1,18514,52.5,47.5,0.4,35.4,7.5,9.6,0.9
"Bristol Bay Borough","AK","22.1",99067,2.4,61,33.1,17,849,56.5,43.5,0.9,18.7,13.1,44.8,0.6
"Chugach Census Area","AK","30.7",100865,3.6,64.1,29.5,14.6,7015,51.9,48.1,0.9,23.1,13.5,72.8,1.7
"Copper River Census Area","AK","29.8",85504,7.7,52.5,36.8,21.1,2635,52.1,47.9,0.6,24.1,14.5,58.3,0.1
"Denali Borough","AK","39.4",87103,2.6,79.2,18,13.9,2187,53.4,46.6,0.5,8.9,11.8,79.9,1.2
"Dillingham Census Area","AK","19.6",77895,12.6,34.7,54.5,17.3,4899,51.7,48.3,0.8,31.5,11.2,16.2,1.3
"Fairbanks North Star Borough","AK","32.6",102587,6.3,76.3,28.8,9.6,97149,54.2,45.8,0.6,24.1,11.1,73,4.6
"Haines Borough","AK","25.6",80135,3.7,54.4,43.7,11.8,2098,53.4,46.6,0.8,31.2,20.9,86.2,0
"Hoonah-Angoon Census Area","AK","22.3",79215,15,46.4,44.8,21.1,2327,56.3,43.7,0.7,12.3,22.9,48.8,1.9
"Juneau City and Borough","AK","40.1",109606,5.1,75.5,30.6,8.8,32240,50.9,49.1,0.9,20.9,13.9,64.7,1
"Kenai Peninsula Borough","AK","27.4",92638,8.2,58.5,42.3,12.8,58711,52.3,47.7,1.4,22.4,17.9,80.7,0.7
"Ketchikan Gateway Borough","AK","26.4",100532,4.7,69.2,36,9.5,13939,51.6,48.4,1.4,21.7,16,64.4,0.8
"Kodiak Island Borough","AK","29.2",96267,5.8,66.1,35.3,12.5,13218,52.7,47.3,1.6,24.6,11.4,52.4,1.1
"Kusilvak Census Area","AK","2.9",50193,24.7,18.3,70.6,15.3,8354,54.4,45.6,0.3,40.8,5.9,3.3,0
"Lake and Peninsula Borough","AK","22.2",63950,15.8,38.8,40.5,25.2,986,45.6,54.4,0.8,26.4,9.9,24.3,2.2
"Matanuska-Susitna Borough","AK","23.7",98444,7.4,63.8,35.6,13.6,106807,52.1,47.9,0.9,26.8,12.2,80.6,1.3
"Nome Census Area","AK","18.4",80930,18.6,38.4,50.3,17.3,10070,52.3,47.7,0.3,34.6,7.6,14.6,0.9
"North Slope Borough","AK","15.6",102685,9.2,62.6,26.2,17.3,10865,59.5,40.5,0.4,27.5,7.3,28.6,0.8
"Northwest Arctic Borough","AK","14.4",88844,15.7,34.8,48.4,22.4,7776,53.8,46.2,0.4,35.6,7.7,11.2,1.1
"Petersburg Borough","AK","28.4",89162,4.7,64.1,44.2,10.8,3368,51.8,48.2,1.1,17.8,28,64.6,1
"Prince of Wales-Hyder Census Area","AK","19.2",72091,9.6,42.8,46.2,21,5886,55,45,0.9,22.1,18.4,46.2,0.3
"Sitka City and Borough","AK","33.2",92888,5.4,69.3,29,13.6,8518,51.7,48.3,1.2,21.1,15.8,63.5,0.6
"Skagway Municipality","AK","25.0",84031,12.9,77.2,23.1,12.6,1329,50.2,49.8,0.5,14.5,13.3,76.5,2.9
"Southeast Fairbanks Census Area","AK","19.3",81373,10.3,56.5,41.1,15.2,6849,55.1,44.9,1.8,27.5,14.3,74.7,1.1
"Wrangell City and Borough","AK","15.2",72039,5.7,48.8,47.3,16.3,2162,56.6,43.4,2.1,22.8,24.7,59,0.1
"Yakutat City and Borough","AK","10.3",82303,1.6,52.1,34,24.2,562,60.5,39.5,0.9,22.1,19.4,31.3,3.2
"Yukon-Koyukuk Census Area","AK","12.9",57989,12.8,34.3,53.6,22.4,5433,52.3,47.7,1,27.9,15.5,22.5,0.1
