"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct","fips","cases","deaths","votes_rep","votes_dem","total_votes","rep_win","rep_rate","infection_rate","death_rate"
"Baldwin","AL","32.5",87709,3.7,69.7,35.9,9.7,227131,48.8,51.2,1.8,21.6,20.6,84.5,8.8,1003,69860,727,83544,24578,109679,1,761.713728243328,307.575804271544,3.20079601639582
"Barbour","AL","11.2",55066,8.6,52.2,51.7,10.4,25259,52.9,47.1,1.7,20.8,19,45.5,47.4,1005,7485,103,5622,4816,10518,1,534.512264689104,296.33002098262,4.07775446375549
"Bibb","AL","11.9",67396,9.7,62.6,40.9,10,22412,54.9,45.1,1.4,20.6,16,75.9,22.3,1007,8091,109,7525,1986,9595,1,784.262636789995,361.011957879707,4.86346600035695
"Blount","AL","14.9",71849,6,65.3,36.8,10,58884,50.1,49.9,1.9,23.2,18,92.5,1.3,1009,18704,261,24711,2640,27588,1,895.715528490648,317.641464574418,4.43244344813532
"Bullock","AL","11.7",46257,3,44.7,53.5,10.1,10386,54.5,45.5,2,22.2,16.2,24.8,69,1011,3030,54,1146,3446,4613,0,248.428354649902,291.738879260543,5.19930675909879
"Butler","AL","14.0",63862,6.5,63.5,41.4,11.4,19181,46.8,53.2,2.4,22.8,20.8,51.6,44.8,1013,6551,132,5458,3965,9488,1,575.252951096121,341.535894895991,6.88181012460247
"Calhoun","AL","19.5",65287,7,64.6,41.2,11.2,116425,48.2,51.8,1.4,21.8,17.7,72.8,21.5,1015,41421,680,35101,15216,50983,1,688.484396759704,355.774103500107,5.8406699592012
"Chambers","AL","13.7",59993,3.2,59.9,42.7,10.5,34834,48,52,1.4,20.9,19.6,56.9,40.1,1017,10859,172,8753,6365,15284,1,572.690395184507,311.73566056152,4.93770454153987
"Cherokee","AL","12.8",63492,4.7,64.1,43.8,9.8,24975,49.5,50.5,2.2,19.4,22.9,91.5,4.7,1019,6755,89,10583,1624,12301,1,860.336558003414,270.47047047047,3.56356356356356
"Chilton","AL","13.5",68497,6.4,63,39.9,12.4,44857,48.8,51.2,1.6,24,16.4,81.1,8.8,1021,13009,219,16085,3073,19310,1,832.988089073019,290.010477740375,4.88218115344316
"Choctaw","AL","11.7",57529,6.1,56.7,49.3,11.1,12792,47.7,52.3,3.4,20.2,22.8,56.7,41.3,1023,2259,39,4296,3127,7464,1,575.56270096463,176.594746716698,3.04878048780488
"Clarke","AL","13.9",64589,12.2,58.5,46.4,10.9,23346,47.7,52.3,2.4,22.2,19.7,52,45.4,1025,8553,107,7324,5755,13135,1,557.594213932242,366.358262657415,4.5832262486079
"Clay","AL","13.4",65502,6.1,65.4,42.5,8.3,14184,49.2,50.8,2,21.3,20.2,82.1,13.3,1027,5162,93,5601,1267,6930,1,808.225108225108,363.931190073322,6.55668358714044
"Cleburne","AL","16.4",67904,4.5,66.4,36,11,15046,49,51,3.1,22.9,19.2,93.1,2.6,1029,4428,72,6484,675,7227,1,897.191088971911,294.297487704373,4.78532500332314
"Coffee","AL","22.7",74955,5.1,67.8,39.4,10.5,53043,49.7,50.3,1.5,23.9,16.9,73.8,17,1031,17185,245,16899,5076,22275,1,758.653198653199,323.982429349773,4.61889410478291
"Colbert","AL","17.9",65278,3.8,69.5,38.4,6.6,56789,48.6,51.4,1.8,21.2,19.6,78.2,16.4,1033,21291,279,19203,8343,27886,1,688.625116545937,374.914155910476,4.91292327739527
"Conecuh","AL","12.5",53737,4.7,59.2,47.3,8.3,11778,48.8,51.2,1.9,20.8,22.8,50.1,48.1,1035,3604,76,3442,2966,6441,1,534.389070020183,305.994226524028,6.45270843946341
"Coosa","AL","11.2",66585,3.3,66.5,44.6,6.6,10442,52,48,2,16.2,23.7,66.2,30.7,1037,3776,64,3631,1796,5479,1,662.712173754335,361.616548553917,6.12909404328673
"Covington","AL","15.8",63948,7,63.4,39.3,11.1,37490,48.7,51.3,3,22.2,20.9,84.1,12.3,1039,11804,261,14586,2721,17430,1,836.833046471601,314.857295278741,6.96185649506535
"Crenshaw","AL","16.4",67086,4.7,65.5,42.2,7.3,13300,48.6,51.4,2.1,22.8,19.3,70.6,24.5,1041,4738,110,4864,1700,6617,1,735.076318573372,356.240601503759,8.27067669172932
"Cullman","AL","16.5",67643,4.4,66.1,37.3,10.9,87129,49.5,50.5,1.4,22.6,18.2,92.8,1.1,1043,31520,398,36880,4478,41851,1,881.221476189338,361.762444191945,4.56793949201758
"Dale","AL","18.7",63351,8.2,64.8,43.1,10.2,49443,49.8,50.2,1.5,23.1,17,70.8,20.7,1045,16507,245,14303,5170,19738,1,724.642820954504,333.859191392108,4.95520093845438
"Dallas","AL","16.1",49350,8.5,52.2,49.3,9.9,39162,46.3,53.7,1.8,24.1,18.3,26.9,71.7,1047,11031,259,5524,12230,17864,0,309.22525750112,281.676114600889,6.61355395536489
"DeKalb","AL","14.4",62388,4.3,58.2,40.1,15.1,71554,49.8,50.2,1.7,24.3,16.9,83.7,1.6,1049,22522,345,24767,4281,29356,1,843.677612753781,314.755289711267,4.82153338737178
"Elmore","AL","24.6",83506,4.8,73.6,32.4,8.6,87146,48.7,51.3,1.2,22.3,15.5,74.7,20.8,1051,29837,362,30164,10367,41030,1,735.169388252498,342.379455167191,4.15394854611801
"Escambia","AL","12.5",51084,9.8,59.8,40,12.2,36879,51.2,48.8,2,22.7,18,61.6,31.2,1053,12367,179,10869,4918,15910,1,683.155248271527,335.339895333388,4.85371078391496
"Etowah","AL","18.0",63821,6.1,64.4,39.3,12.2,103468,48.4,51.6,1.7,21.7,18.9,78.3,15.6,1055,34229,692,35528,11567,47728,1,744.384847468991,330.817257509568,6.68805814358062
"Fayette","AL","11.8",59916,9.3,59.3,46.6,10.6,16365,49.7,50.3,2.6,21.3,21,84.2,12.7,1057,5887,100,7300,1395,8766,1,832.762947752681,359.731133516651,6.11060189428659
"Franklin","AL","14.3",58435,4.6,58.5,38,12.7,32034,49.6,50.4,1.9,25.3,16.5,78.1,4.4,1059,12033,154,10376,2086,12578,1,824.932421688663,375.632140850347,4.80739214584504
"Geneva","AL","13.5",57707,3.5,56.2,47.1,11.9,26604,49.2,50.8,2.6,22.2,20,84.2,9.6,1061,7969,172,10848,1595,12545,1,864.726982861698,299.541422342505,6.46519320402947
"Greene","AL","12.7",41076,10,44.6,54.2,18,7851,48.1,51.9,2.1,22,22.9,17.6,79.2,1063,2309,54,875,3884,4775,0,183.246073298429,294.102662081264,6.87810470003821
"Hale","AL","15.8",52600,7,59.2,49,7.1,14819,47.7,52.3,2.8,23.4,19.4,38.3,59,1065,5728,110,3190,4687,7922,0,402.676091895986,386.530805047574,7.42290302989406
"Henry","AL","21.6",71087,4.9,64.4,44.8,9,17165,47.7,52.3,2.3,20.9,22.4,70,26.6,1067,5866,79,6607,2606,9298,1,710.582921058292,341.741916690941,4.60238858141567
"Houston","AL","22.2",72084,5.2,60.8,41.2,11.4,106355,48.2,51.8,1.9,23.2,17.8,67.4,27.3,1069,32660,531,32618,12917,46173,1,706.430164814935,307.084763292746,4.99271308354097
"Jackson","AL","16.1",60681,5.7,62,42.7,10.7,52548,49.4,50.6,1.6,21.1,20.1,90.4,3.5,1071,18379,256,19670,3717,23636,1,832.205110847859,349.756413184136,4.87173631727183
"Jefferson","AL","34.7",85794,6.1,67.4,35.6,9.1,672550,47.5,52.5,1.8,23,15.9,50.9,42.9,1073,238727,2535,138843,181688,325848,0,426.097444207115,354.957995688053,3.76923648799346
"Lamar","AL","10.0",55331,4.9,60.3,44.9,7.1,13929,49.6,50.4,2.6,21.7,21.8,86.9,11.1,1075,4737,73,6174,978,7193,1,858.334491867093,340.08184363558,5.24086438365999
"Lauderdale","AL","25.5",69687,3.8,70.8,36.3,9.8,93342,48.3,51.7,2.1,19.9,19.8,85,10,1077,30406,420,31721,11915,44339,1,715.41983355511,325.748323369973,4.49958218165456
"Lawrence","AL","15.3",66836,3,67.6,36.9,9.2,33089,48.4,51.6,1.9,21.9,18.1,77.1,10.4,1079,9389,181,12322,3562,16031,1,768.635768199114,283.749886669286,5.47009580223035
"Lee","AL","38.6",79097,4.3,75.8,27.7,8.1,172223,49.4,50.6,1.3,21.3,12.3,69.3,22.4,1081,47646,372,42221,27860,71449,1,590.924995451301,276.652944147994,2.15999024520534
